Date,Description,Amount (Negated),Amount,Category,Amount (Raw),Entered,Reconciled
1/30/2023,Lazada garlic shredder,115.0,0.0,Expenses:Household Supplies,-115.0,True,True
1/31/2023,Chorizo santis,536.0,0.0,Expenses:Food:Groceries,-536.0,True,True
1/31/2023,Cloth sponge,660.0,0.0,Expenses:Food:Groceries,-660.0,True,True
2/2/2023,cheese dog,463.0,0.0,Expenses:Food:Groceries,-463.0,True,True
2/2/2023,hotdog special,379.0,0.0,Expenses:Food:Groceries,-379.0,True,True
2/3/2023,labuyo,45.0,0.0,Expenses:Food:Groceries,-45.0,True,True
2/3/2023,talakitok fish,1560.0,0.0,Expenses:Food:Groceries,-1560.0,True,True
2/9/2023,almond raw,560.0,0.0,Expenses:Food:Groceries,-560.0,True,True
2/9/2023,bacon santis,230.0,0.0,Expenses:Food:Groceries,-230.0,True,True
2/9/2023,mam B material,250.0,0.0,Expenses:Health:Medicines,-250.0,True,True
2/9/2023,max gift,1000.0,0.0,Expenses:Gifts,-1000.0,True,True
2/9/2023,mayonaise,120.0,0.0,Expenses:Food:Groceries,-120.0,True,True
2/9/2023,pistachios,565.0,0.0,Expenses:Food:Groceries,-565.0,True,True
2/9/2023,raisins,275.0,0.0,Expenses:Food:Groceries,-275.0,True,True
2/9/2023,sunflower seeds,250.0,0.0,Expenses:Food:Groceries,-250.0,True,True
2/10/2023,siatw,110.0,0.0,Expenses:Food:Groceries,-110.0,True,True
2/10/2023,zicchini,180.0,0.0,Expenses:Food:Groceries,-180.0,True,True
2/13/2023,ara LTO allowance,130.0,0.0,Expenses:Household Staff:Ara:Others,-130.0,True,True
2/13/2023,ara LTO medical,500.0,0.0,Expenses:Household Staff:Ara:Medical,-500.0,True,True
2/13/2023,ara LTO student permit,250.0,0.0,Expenses:Household Staff:Ara:Others,-250.0,True,True
2/14/2023,DHL sir GIO fee,120.0,0.0,Expenses:Professional Fees,-120.0,True,True
2/14/2023,Valentines treat mam B,1020.0,0.0,Expenses:Gifts,-1020.0,True,True
2/17/2023,ara muji pillow payment,0.0,845.0,Expenses:Household Supplies,845.0,True,True
2/18/2023,couch pillow,600.0,0.0,Expenses:Household Supplies,-600.0,True,True
2/18/2023,laptop charger,1000.0,0.0,Expenses:Household Supplies,-1000.0,True,True
2/20/2023,arc,360.0,0.0,Expenses:Utilities:Drinking Water,-360.0,True,True
2/23/2023,butter,936.0,0.0,Expenses:Food:Groceries,-936.0,True,True
2/23/2023,graham masala seasoning,105.0,0.0,Expenses:Food:Groceries,-105.0,True,True
2/23/2023,jerry labor,350.0,0.0,Expenses:Professional Fees,-350.0,True,True
2/23/2023,led light,945.0,0.0,Expenses:Household Supplies,-945.0,True,True
2/23/2023,muffin tray,440.0,0.0,Expenses:Food:Groceries,-440.0,True,True
2/24/2023,curry,95.0,0.0,Expenses:Food:Groceries,-95.0,True,True
2/24/2023,rose,550.0,0.0,Expenses:Food:Groceries,-550.0,True,True
2/24/2023,salted egg,45.0,0.0,Expenses:Food:Groceries,-45.0,True,True
2/24/2023,sir gio fish,395.0,0.0,Expenses:Food:Groceries,-395.0,True,True
2/24/2023,sukang ilocos,105.0,0.0,Expenses:Food:Groceries,-105.0,True,True
2/28/2023,mam B medicines,1416.0,0.0,Expenses:Health:Medicines,-1416.0,True,True
3/3/2023,honey & del. fee,2050.0,0.0,Expenses:Professional Fees,-2050.0,True,True
3/3/2023,puto,50.0,0.0,Expenses:Food:Groceries,-50.0,True,True
3/3/2023,sir gio fish lunch,390.0,0.0,Expenses:Food:Groceries,-390.0,True,True
3/3/2023,top blade beef,1515.0,0.0,Expenses:Food:Groceries,-1515.0,True,True
3/4/2023,shadow clippings,200.0,0.0,Expenses:Household Supplies:Pet Expenses,-200.0,True,True
3/7/2023,coins,0.0,48.0,Expenses:Food:Groceries,48.0,True,True
3/9/2023,gouda cheees,188.0,0.0,Expenses:Food:Groceries,-188.0,True,True
3/9/2023,lazada multipurpose rod,1200.0,0.0,Expenses:Household Supplies,-1200.0,True,True
3/9/2023,swimming,1000.0,0.0,Expenses:Childcare:Extracurricular Activities,-1000.0,True,True
3/10/2023,basmati rice,620.0,0.0,Expenses:Food:Groceries,-620.0,True,True
3/10/2023,jap cucmber,145.0,0.0,Expenses:Food:Groceries,-145.0,True,True
3/10/2023,mine,65.0,0.0,Expenses:Food:Groceries,-65.0,True,True
3/13/2023,ara grab,165.0,0.0,Expenses:Transportation:Public,-165.0,True,True
3/13/2023,Ara grab,160.0,0.0,Expenses:Transportation:Public,-160.0,True,True
3/13/2023,Ara PDC,4000.0,0.0,Expenses:Household Staff:Ara:Others,-4000.0,True,True
3/17/2023,annie rice,510.0,0.0,Expenses:Food:Groceries,-510.0,True,True
3/17/2023,boy push cart,100.0,0.0,Expenses:Professional Fees,-100.0,True,True
3/17/2023,hasa,700.0,0.0,Expenses:Food:Groceries,-700.0,True,True
3/17/2023,lapu fillet,650.0,0.0,Expenses:Food:Groceries,-650.0,True,True
3/17/2023,lootbags item,3100.0,0.0,Expenses:Household Supplies,-3100.0,True,True
3/17/2023,lumahan fish,320.0,0.0,Expenses:Food:Groceries,-320.0,True,True
3/17/2023,yellow mango,295.0,0.0,Expenses:Food:Groceries,-295.0,True,True
3/18/2023,alessi order night,2730.0,0.0,Expenses:Food:Dining,-2730.0,True,True
3/23/2023,contis del fee,150.0,0.0,Expenses:Professional Fees,-150.0,True,True
3/23/2023,Grab,220.0,0.0,Expenses:Transportation:Public,-220.0,True,True
3/23/2023,ID renewal Mam B,125.0,0.0,Expenses:Household Supplies,-125.0,True,True
3/23/2023,Id renewal michelle,100.0,0.0,Expenses:Household Supplies,-100.0,True,True
3/23/2023,minute maid juice,455.0,0.0,Expenses:Food:Groceries,-455.0,True,True
3/24/2023,lapu fish,550.0,0.0,Expenses:Food:Groceries,-550.0,True,True
3/25/2023,timezone,2000.0,0.0,Expenses:Childcare:Extracurricular Activities,-2000.0,True,True
3/27/2023,alessi ice cream,327.0,0.0,Expenses:Food:Dining,-327.0,True,True
3/27/2023,Healthy Option & Bega cheese,2326.0,0.0,Expenses:Food:Groceries,-2326.0,True,True
3/27/2023,lalay grab,384.0,0.0,Expenses:Transportation:Public,-384.0,True,True
3/27/2023,mam B philpost,112.0,0.0,Expenses:Professional Fees,-112.0,True,True
3/29/2023,ariel liquid & ziploc,680.0,0.0,Expenses:Household Supplies,-680.0,True,True
3/29/2023,Bega,1110.0,0.0,Expenses:Food:Groceries,-1110.0,True,True
3/31/2023,ara food allowance x2,2000.0,0.0,Liabilities:Other:Ara Loan:Allowance,-2000.0,True,True
3/31/2023,elmer salary x2,1800.0,0.0,Expenses:Professional Fees,-1800.0,True,True
3/31/2023,Fertilizer,900.0,0.0,Expenses:Food:Groceries,-900.0,True,True
3/31/2023,honey & delivery fee,2150.0,0.0,Expenses:Professional Fees,-2150.0,True,True
3/31/2023,Mam B Medicines,2006.0,0.0,Expenses:Health:Medicines,-2006.0,True,True
3/31/2023,michelle food allowance x2,2000.0,0.0,Liabilities:Other:Michelle Loan:Allowance,-2000.0,True,True
3/31/2023,Soil,700.0,0.0,Expenses:Household Supplies,-700.0,True,True
4/1/2023,Kuya Rolly salary,3000.0,0.0,Expenses:Professional Fees,-3000.0,True,True
4/10/2023,brocolli,141.0,0.0,Expenses:Food:Groceries,-141.0,True,True
4/10/2023,emborge cooking milk,164.0,0.0,Expenses:Food:Groceries,-164.0,True,True
4/10/2023,michelle half day holiday,325.0,0.0,Expenses:Household Staff:Michelle:OT,-325.0,True,True
4/11/2023,green bell pepper,65.0,0.0,Expenses:Food:Groceries,-65.0,True,True
4/11/2023,red bell pepper,59.0,0.0,Expenses:Food:Groceries,-59.0,True,True
4/11/2023,Withdraw,0.0,10000.0,Assets:Current Assets:Banks Local:BPI ATM House,10000.0,True,True
4/12/2023,allerzet,510.0,0.0,Expenses:Health:Medicines,-510.0,True,True
4/12/2023,cefalin medicine alessi,700.0,0.0,Expenses:Health:Medicines,-700.0,True,True
4/14/2023,celery tomato,125.0,0.0,Expenses:Food:Groceries,-125.0,True,True
