Date,Description,Out,In,Balance,Calculated balance,Diff,Day,Week,transaction_source,predicted_category,confidence
9/12/2025,onion White ,280.0,,,17986,,,,household,Expenses:Food:Groceries,0.6267073808492359
9/12/2025,onion red ,240.0,,,17746,,,,household,Expenses:Food:Groceries,0.6639864684469975
9/12/2025,french beans ,150.0,,,17596,,,,household,Expenses:Food:Groceries,0.5412790226901574
9/12/2025,banana ,170.0,,,17426,,,,household,Expenses:Food:Groceries,0.5018102436816979
9/12/2025,sitaw ,120.0,,,17306,,,,household,Expenses:Food:Groceries,0.263470078582648
9/12/2025,patatas ,430.0,,,16876,,,,household,Expenses:Food:Groceries,0.3162027198558127
9/12/2025,iceberg ,230.0,,,16646,,,,household,Expenses:Food:Groceries,0.197066328401543
9/12/2025,snow peas ,120.0,,,16526,,,,household,Expenses:Food:Groceries,0.4032214801056955
9/12/2025,alugbati,60.0,,,16466,,,,household,Expenses:Food:Groceries,0.3907308707329011
9/12/2025,sayote ,100.0,,,16366,,,,household,Expenses:Food:Groceries,0.3162048943039715
9/12/2025,curry paste,100.0,,,16266,,,,household,Expenses:Food:Groceries,0.2950322748390901
9/12/2025,pipino ,280.0,,,15986,,,,household,Expenses:Food:Groceries,0.2957832980599015
9/12/2025,avocado,230.0,,,15756,,,,household,Expenses:Food:Groceries,0.5191875661305559
9/12/2025,mango ,300.0,,,15456,,,,household,Expenses:Food:Groceries,0.3636158394415842
9/12/2025,wansoy,180.0,,,15276,,,,household,Expenses:Food:Groceries,0.5141711893715163
9/12/2025,salmon ,930.0,,,14346,,,,household,Expenses:Food:Groceries,0.4803155514750198
9/12/2025,broccoli ,480.0,,,13866,,,,household,Expenses:Food:Groceries,0.4843412097041318
9/12/2025,zucchini ,280.0,,,13586,,,,household,Expenses:Food:Groceries,0.4005461296089543
9/12/2025,carrots ,290.0,,,13296,,,,household,Expenses:Food:Groceries,0.4590587878183148
9/12/2025,sharpening scissors ,500.0,,,12796,,,,household,Expenses:Professional Fees,0.3814154559959944
9/12/2025,Ara,1000.0,,,11796,,,,household,Expenses:Household Staff:Ara:Allowance,0.3563841348665426
9/12/2025,Michelle ,1000.0,,,10796,,,,household,Liabilities:Other:Michelle Loan:Allowance,1.0
9/12/2025,Elmer ,1000.0,,,9796,,,,household,Expenses:Professional Fees,0.7411410002445772
9/12/2025,Fertilizer ,800.0,,,8996,,,,household,Expenses:Household Supplies,1.0
9/12/2025,Lemon All purpóse Spray cleaner ,750.0,,,8246,,,,household,Expenses:Household Supplies,1.0
9/12/2025,Baking Soda Ritual,400.0,,,7846,,,,household,Expenses:Household Supplies,0.2622765018685245
9/12/2025,del fee,100.0,,,7746,,,,household,Expenses:Professional Fees,0.8798329921616094
9/12/2025,basil leaves ,120.0,,7626.0,7626,0.0,,,household,Expenses:Food:Groceries,0.3820673154332736
9/13/2025,withdraw ,,8000.0,,15626,,,,household,Assets:Current Assets:Banks Local:BPI ATM House,0.9206655007989518
9/13/2025,summit ,1010.0,,,14616,,,,household,Expenses:Utilities:Drinking Water,0.7939674075146606
9/13/2025,bega cheese,1700.0,,,12916,,,,household,Expenses:Food:Groceries,0.6556785659929243
9/15/2025,pandesal ,200.0,,,12716,,,,household,Expenses:Food:Groceries,0.197066328401543
9/15/2025,canola oil ,292.0,,,12424,,,,household,Expenses:Food:Groceries,0.1975134643689234
9/15/2025,breading mix ,150.0,,,12274,,,,household,Expenses:Food:Groceries,0.1971262061393849
9/15/2025,pumpkin seeds ,480.0,,,11794,,,,household,Expenses:Food:Groceries,0.3186943746606558
9/15/2025,sunflower seeds ,280.0,,,11514,,,,household,Expenses:Food:Groceries,0.2349765674740265
9/15/2025,almond raw ,590.0,,,10924,,,,household,Expenses:Food:Groceries,0.3133657159482525
9/15/2025,delivery fee ,230.0,,,10694,,,,household,Expenses:Professional Fees,0.871994723285006
9/16/2025,coconut flour ,380.0,,,10314,,,,household,Expenses:Food:Groceries,0.6023333702135122
9/16/2025,cocoa powder ,584.0,,,9730,,,,household,Expenses:Food:Groceries,0.207322816580004
9/16/2025,vanilla extract ,800.0,,,8930,,,,household,Expenses:Food:Groceries,0.197066328401543
9/16/2025,almond flour ,425.0,,,8505,,,,household,Expenses:Food:Groceries,0.6173390473636405
9/16/2025,all purpose flour ,239.0,,,8266,,,,household,Expenses:Food:Groceries,0.5999082267158219
9/17/2025,shadow newspaper ,350.0,,,7916,,,,household,Expenses:Household Supplies:Pet Expenses,1.0
9/17/2025,roasted cacao nibs,615.0,,,7301,,,,household,Expenses:Food:Groceries,0.197066328401543
9/17/2025,raw walnuts ,365.0,,,6936,,,,household,Expenses:Food:Groceries,0.2484294026821666
9/17/2025,cashew nuts ,330.0,,,6606,,,,household,Expenses:Food:Groceries,0.4325829189324617
9/17/2025,delivery fee,200.0,,,6406,,,,household,Expenses:Professional Fees,0.871994723285006
9/17/2025,withdraw ,,5000.0,,11406,,,,household,Assets:Current Assets:Banks Local:BPI ATM House,0.9206655007989518
9/17/2025,chili flakes ,90.0,,,11316,,,,household,Expenses:Food:Groceries,0.197066328401543
9/17/2025,blueberries ,580.0,,,10736,,,,household,Expenses:Food:Groceries,0.2099130314638443
9/17/2025,arugula ,390.0,,,10346,,,,household,Expenses:Food:Groceries,0.197066328401543
9/17/2025,mozzarella ,580.0,,,9766,,,,household,Expenses:Food:Groceries,0.197066328401543
9/17/2025,ground pork ,670.0,,,9096,,,,household,Expenses:Food:Groceries,0.5443146664968979
9/17/2025,ground beef ,765.0,,,8331,,,,household,Expenses:Food:Groceries,0.4715478827278732
9/18/2025,cereal ,536.0,,,7795,,,,household,Expenses:Food:Groceries,0.3967503765076975
9/18/2025,leave on conditioner ,428.0,,,7367,,,,household,Expenses:Food:Groceries,0.197066328401543
9/18/2025,rolled oats ,356.0,,,7011,,,,household,Expenses:Food:Groceries,0.197066328401543
9/18/2025,lankanto syrup,735.0,,,6276,,,,household,Expenses:Food:Groceries,0.197066328401543
9/18/2025,ziplocs,474.0,,,5802,,,,household,Expenses:Childcare:School Supplies,1.0
9/18/2025,honey ,1900.0,,,3902,,,,household,Expenses:Food:Groceries,0.3873154697996073
9/18/2025,delivery fee ,350.0,,,3552,,,,household,Expenses:Professional Fees,0.871994723285006
9/18/2025,shopee mop,439.0,,,3113,,,,household,Expenses:Household Supplies,0.4717990661153409
9/19/2025,withdraw ,,19000.0,,22113,,,,household,Assets:Current Assets:Banks Local:BPI ATM House,0.9206655007989518
9/19/2025,santis Rider ,250.0,,,21863,,,,household,Expenses:Professional Fees,0.7791831334567165
9/19/2025,kalamata ,273.0,,,21590,,,,household,Expenses:Food:Groceries,0.2391404811284414
9/19/2025,forest ham ,192.0,,,21398,,,,household,Expenses:Food:Groceries,0.6146716360923914
9/19/2025,pork tenderloin ,872.0,,,20526,,,,household,Expenses:Food:Groceries,0.5365865283921761
9/19/2025,milk ,828.0,,,19698,,,,household,Expenses:Food:Groceries,0.6543816949887199
9/19/2025,gouda cheese,432.0,,,19266,,,,household,Expenses:Food:Groceries,0.661212615089627
9/19/2025,manchego cheese ,382.0,,,18884,,,,household,Expenses:Food:Groceries,0.6627010420567396
9/19/2025,cauliflower ,400.0,,,18484,,,,household,Expenses:Food:Groceries,0.4324958823606796
